Name,Course,Description,,,,,,,,,
Information Retrieval,CSE508,"This course will teach basic concepts, tools & techniques in the field of Information Retrieval (IR) & Search. It will cover theoretical foundations, implementation aspects, issues and state-of-the-art in the area of information retrieval, representation, organization, indexing and categorization. The course will cover topics such as retrieval models, inverted index construction, performance evaluation in information retrieval, search engine architecture, crawling, indexing, ranking, text categorization & clustering In the end, trends and research issues will be discussed.",,,,,,,,,
Behavioural Economics,ECO314,"The course will provide a theoretical understanding of behavioural economics; and then apply these theories to do experimental analysis in a laboratory setting. Behavioural economics incorporates human traits of cognition; social preferences; and emotional responses to better understand choices made in a setting that may not seem ""rational"" in the traditional sense of the word. Understanding of choices influenced by behaviour is useful in a variety of arenas; including policy making; IO; and finance. Behavioural economics literature also has inter- disciplinary relevance with psychology and cognitive sciences.",,,,,,,,,
Analog CMOS Circuit Design,ECE 315/ECE515,This course introduces the basic analog building blocks and quantifies their performance parameters. More advanced circuits are derived from these basic building blocks. Concepts of feedback and stability are introduced to enable analysis of complex circuits. The course also includes a self-learning lab component in which the students are expected to learn circuit simulation and design tools such as LTSpice; Eldo; Cadence Analog Suite etc. A design project is an essential component of this course.,,,,,,,,,
Foundations of Parallel Programming,CSE502,"Constrained by the heat and power usage, today all computing devices are composed of multicore processors, with little or no increase in clock speed per core. In order to harness the power of the multicore processors, software applications being developed also needs to be parallelized. This makes parallel programming a very important paradigm of computing.This course introduces the fundamentals of parallel programming. It will cover both traditional approaches and new advancements in the area of parallel programming. A key aim of this course is to provide hands-on knowledge on parallel programming by writing parallel programs in different programming models taught in this course.",,,,,,,,,
Introduction to Quantitative Biology,BIO213,"This course will discuss some fundamental aspects of ecological, evolutionary, genetics, and epidemic models as studied by quantitative approaches. Simple mathematical and computational tools will be taken up to carry out quantitative analysis of biological systems. In addition, students will be introduced to MATLAB. Assignments and project work will include quantitative study and data analysis for biological processes (using MATLAB).",,,,,,,,,
Algorithms in Computational Biology,BIO522,This is an introductory course on algorithms for computational biology. The goal is to make students familiar with thebasics of algorithm designing techniques and their application in solving problems of molecular biology. Students will be trained for developing their own algorithms for solving real life biological problems. Hands on training will be given for commonly used softwares for genomic data analysis.,,,,,,,,,
Security Engineering,CSE552,This course is designed to present the students a “host” centric approach to various aspects of computer software security. Broadly; the course would cover: Traditional multi-level security models (Bell La-Padula; Biba etc.); access controls; security in traditional computerprograms and attacks against them (buffer/heap overflow attacks); defences against such attacks; writing secure programs (SecureCoding); Viruses/Malware and Trojans; OS level hardening; application and system level security primitives and APIs; cryptographicsystem primitives and APIs (how to (not) use (and break) them); system level authentication frameworks; introduction to allied topics – IDS; network security etc.,,,,,,,,,
Finite and Spectral Element Methods,MTH545,"This is an introductory course to mathematical theory behind finite and spectral element methods for solving differential equations. Students will get an idea about high order numerical approximations of partial differential equations with applications to complex geometries. We begin with different function spaces, weak derivatives to analyze a differential equation in minimal Pre-requisite (Desirable)",,,,,,,,,
Software Development using Open Source,CSE583,"Open Source Software (OSS) is one of the major sources of software, even for the commercial world, and the movement continues to impact the IT usage across the world. Associated with OSS are also some commonly used software engineering / development methods using open source tools such as Github for source code control, project management, issue tracking, test driven development, etc. Both the open source software, as well as the practices and tools they use, are now widely used in commercial software world also. With the wide range of available open source modules, it is possible today to develop even very sophisticated applications in a short duration using mostly OSS. In this course, we will go over the basic software engineering principles and concepts. Then we will study the OSS processes and methods (along with tools for supporting them), a few common architectures to develop software (e.g. microservices), and some commonly used OS frameworks and systems. Flipped-classroom may be used for some of the lectures (i.e. reading will be given and in the lecture we will discuss the reading). It is hoped that some experts will be invited to give guest lectures on open source. There will be a team project whose goal will be to develop a working prototype of a full-fledged system using OSS modules, while writing minimal code. That is, the project will be more about integrating different OS systems to build an application, and will require learning about the open source systems/components to be used, how to integrate them, etc. Open source processes and tools will be used for managing the project, its source code, testing, etc. Each team will also take up one technical topic, and will make a presentation to the class on the topic, including some details about the open source software on that topic and how to use it. Post conditions of the course:",,,,,,,,,
Introduction to Motion Graphics,DES518,"This course aims to introduce the concurrent and learned data structures to senior undergraduate, master's and Ph.D. students who have familiarity with data structures. The course will interleavingly cover both the concepts. The concurrent data structures teaching will consist of the concepts of consistency, progress guarantees, and amortized step compexity. We will delve in to the design and implementation of concurrent lock-based and lock-free linked-lists, binary search trees, hash tables, skip-lists and queries such as range search. The learned data structures teaching will first introduce the concept of learned query. We will then cover the learned index structures such as recursive model index and its variants and learned bloom filters. Finally, some very recent developments on relaxed and persistent concurrent data structures will be discussed.",,,,,,,,,
Design of Interactive Systems,DES205/DES519,The objective of this course is to learn all the aspects of design and development of interactive systems; which are now an important part of our lives. The design and usability of these systems leave an effect on the quality of people’s relationship to technology. Web applications; social media applications; multimedia applications; embedded devices; etc.; are all a part of this system; which has become an integral part of our lives. By the end of the course; the students will be familiar with the goals; problems and structure of interactive system design process.Moreover; the students will be exposed to the core techniques for task analysis and user analysis.Furthermore; students will be able to understand the innovative features of interactive system and be able to improve existing interfaces by considering these features.,,,,,,,,,
Computer Vision,CSE344/CSE544/ECE344/ECE544,This is an introductory course on Computer Vision offered to undergraduate and graduate students. The goal is to develop understanding of the fundamental concepts in computer vision and enable students to understand and develop applications using existing tools. Students will be given theoretical and programming assignments targeted towards solving real-world computer vision problems. Groups of two or three will do a course project and show a demonstration at the end of the semester.,,,,,,,,,
Introduction to 3D Character Animation,DES503,This course introduces students to: (i) Basics and fundamental principles of animation (ii) Workflow of animation (iii) Introduction to 3D Animation (iv) Advance body mechanism and character Animation.,,,,,,,,,
Theories of Ethics,SSH300,"The history of Ethics in the western philosophical tradition has witnessed a fundamental shift in its set of concerns and its basic approach in modernity that marks a ‘decisive break’ in relation to its point of departure in ancient Greek thought. This shift, broadly characterized, consists in moving from the question of what constitutes a ‘good life’—one that is conducive to the fullest realization of human potentiality, to what constitutes ‘right’ or ‘wrong’ action. This course will articulate and analyse the major ethical theories and approaches in the Western tradition in light of this shift. Such a broad historical perspective would allow students to apprehend why for instance, the preoccupation with the ‘Good’ gives rise to ethics of a particular ‘shape’, namely, ‘virtue ethics’; whereas the questions of ‘right’ and ‘wrong’, along with the procedural mode of their determination, emerge in the context of Enlightenment modernity, and the ‘disenchantment of nature’ that it brings in its wake. If ethics, under conditions of modernity, is compelled to take a more procedural form, as a reaction to ethical scepticism and the evisceration of ‘ethical content’ that the deracination of God from nature, hence of purposiveness in nature, entails, then the issue of what remains of the ‘old’ in the ‘new’, of the ancient in the modern, also surfaces. These themes would be pursued in different modalities, by raising, for instance, the problematic of the (privileged) ontological status of the ‘human’ (as opposed to the ‘animal’), in the modern discourse on ‘Human rights’ and environmental ethics.",,,,,,,,,
Chemoinformatics,BIO523,The objective of this course is to provide introduction to chemoinformatics; an interdisciplinary area on the interface of chemistry; informatics and biology. The student will be provided with understanding of fundamentals of chemoinformatics and its applications. Through lectures; hands-on exercises and assignments; the student is expected to achieve a good grasp of the concepts and applications of chemoinformatics.,,,,,,,,,
Network Biology,BIO532,The objective of this course is to provide introduction to network biology; an emerging interdisciplinary area which aims at graphtheoretical modeling of biological complex systems and its applications. The student will be provided with conceptual understandingof complex networks and their application for modeling various biological systems. Through a combination of lectures; exercises; andassignments; the student is expected to achieve understanding of network biology.,,,,,,,,,
Digital VLSI Design,ECE314/ECE514,This course introduces students to CMOS circuits; develops first-order current-voltage and capacitance-voltage models for transistors; transfer characteristics of CMOS inverter; performance estimation for circuits through logical effort; interconnects; combinational circuit design; circuit families; sequential circuit design including clocking and latching techniques; design of datapath subsystems (adders; shifters; multipliers etc.); design of memory subsystems. A course project using state-of-the-art computer aided design (CAD) tools in VLSI gives students hands-on exposer to the most current technology/process.,,,,,,,,,
Program Verification,CSE584,"Program verification is proving the correctness of programs with respect to certain properties. It is useful for proving absence of bugs in a program, or for checking that arbitrary assertions (properties) hold without even executing the program. These techniques have been successfully applied to problems such as proving network protocols, cryptographic protocols, hardware, algorithms, and safety-critical systems. There have been recent techniques toward making program verification practical for general-purpose programs, and this course will focus on these techniques. In most of these techniques, programmers provide richer types for variables and functions which are sufficient to mathematically prove their properties of interest. This may look like providing extra infomation with types (e.g. specifying that a variable x is of type int but also greater than 3 and an even number, or specifying a variable y can be an integer or a string depending on if another variable x is negative or positive). Afterwards, the programmer writes their assertion and a proof of that assertion in an IDE-like envrionment, which can often automatically complete large parts of the proof for you. The course will look at the language Coq, a mature dependent typed functional programming language which has been used to prove program correctness of various programs since a few decades, and F*: a newer functional programming language by Inria and Microsoft Research with programming verification goal and with more features for general-purpose programs. The course is self-contained: the necessary functional language programming will be covered in the class and the level of logic and the mathematical maturity expected should be covered in the first years of the undergraduate CSE as well as other courses. In short, this course does not require any special skills or prerequisites and is designed for advanced (3rd/4th year) undergraduates and postgraduated who have a strong interest in Computer Science and are interested in the applications of logic.",,,,,,,,,
Data Science,CSE558,Data science; being an interdisciplinary subject interface with computer science; statistics; machine learning and science of data visualization. This course is designed to enable students to perform exploratory data analysis employing statistical methods and visualization tools. In this course; students will learn to manage and analyze data. They will also learn to use regression techniques to discover and interpret intrinsic patterns in data of various types. Finally; students learn to build custom softwares and web-servers for data analysis.,,,,,,,,,
Deep Learning,ECE553,Recent advances in machine learning and specifically deep learning techniques have made it a popular and often a default option in many problem domains. The objective of this course is to introduce students through some of the latest techniques in deep learning. The focus of the course will be hands on and the students should be able to design intelligent deep learning systems for solving the problems in the area of their interests.,,,,,,,,,
Bayesian Machine Learning,CSE515/ECE551,"In this course, we will discuss the foundations of Bayesian statistical modeling in the context of machine learning through various case-studies/running-examples. Some of the key benefits of the Bayesian approach include the ability to quantify the uncertainty in the parameters/predictions through posterior probability distributions, the ability to incorporate prior knowledge in a principled way, the ability to learn the model hyperparameters and the right model size/complexity automatically from data. This course will provide a platform to set up a machine learning problem as a Bayesian model and design exact or approximate (sampling/optimization) solution methods for computationally scalable inference. This course provides foundations to modern methods of Bayesian modelling.",,,,,,,,,
Combinatorial Optimization,MTH517,Combinatorial Optimization studies the structures and algorithms underlying discrete optimization problems. A central role in combinatorial optimization is played by polyhedral techniques; namely the representation of combinatorial problems as optimization problems over polyhedra or convex bodies and using the geometry to give insight into the combinatorial problems. The course will be a mix of basic and advanced topics in this area.,,,,,,,,,
Modeling and Analysis of Random 5G Networks,ECE55G,"This course will commence with introduction to the tools from stochastic geometry, applied in the context of wireless network modeling. Then, the course will build up on the learned tools to model several features of 5G systems such as mm-wave communication, massive MIMO, ultra dense networks etc. Detailed PHY layer aspects will be translated into simplistic stochastic geometry models, for performing system-level analysis. A notion of performance metrics for the users in modern wireless systems will be developed, e.g., SINR coverage, rate coverage, positioning accuracy, network load etc. The fundamental tractability-accuracy tradeoffs will be discussed while choosing appropriate stochastic geometry tools for modeling 5G networks. Impact of physical layer modeling on the MAC layer protocols will be studied and accordingly, cross-layer algorithms will be discussed. Throughout the course, several real-world examples will be demonstrated showcasing the practical impact of the tools learned in the course.",,,,,,,,,
Introduction to Economic Analysis,ECO301,"The aim of the course is to deliver thorough understanding of the core concepts and methods of microeconomics. We will analyse the way in which the market system functions as a mechanism for coordinating the independent choices of individual economic agents. The course will develop a basis for evaluating the efficiency and equity implications of competition and other market structures, and a perspective on the appropriate role of government. Included areas are the study of consumer choice, production and cost theory, market structure, and market failure. Students will develop their understanding of economic models specified in standard mathematical terms. Towards the end of the course, students will be able to assess the real microeconomic situations using the tools learnt in the course.",,,,,,,,,
Edge AI,CSE663,With the success of Deep Learning and advent of IoT & Industry 4.0; lot more scenarios have been enabled for intelligent handling on data and inference for better monitoring; prespective and predictive Analytics; early fault prediction & maintenance of devices in the field and real- time inferencing right on the edge devices. The objective of this course is to introduce students through some of the latest techniques in On-Device / Edge AI. The focus of the course will be hands on and the students should be able to design intelligence on the Edge for solving the problems in the area of their interests.,,,,,,,,,
Derivatives and Risk Management,ECO333,The course aims at familiarizing the student with the concept of Financial Risk and the various instruments available for risk management. In the course of running a business; decisions are made in the presence of risk. Some risks are related to the nature of business. These risks are called business risks. Another class of risks deal with uncertainty of such factors as interest rates; exchange rates; stock prices and commodity prices. These are called financial risks. Although our financial system is replete with risks it also provides a means of dealing with these risks; in form of derivatives. Derivatives have been in existence for centuries; their growth has accelerated rapidly during the last 30 years or so. They are now used widely used by corporations; financial institutions; professional investors and individuals.,,,,,,,,,
Introduction to Mathematical Biology,BIO531,The aim of this course is to introduce mathematics as applied in quantitative study of biological systems and biological data analysis. Use of ordinary and partial differential equations (ODEs) will be emphasized in this course. Both exact and numerical solutions will be discussed. We also plan to briefly introduce dynamical systems analysis for ODEs.,,,,,,,,,
Algorithms in Bioinformatics,BIO321,"The objective of this course is to provide introduction to network biology, an emerging interdisciplinary area which aims at graph theoretical modeling of biological complex systems and its applications. The student will be provided with conceptual understanding of complex networks and their application for modeling various biological systems. Through a combination of lectures, exercises, and assignments, the student is expected to achieve understanding of network biology.",,,,,,,,,
Abstract Algebra I,MTH 212,Algebraic structures are of fundamental importance in mathematics and play an increasingly significant role in many application areas; including computer science and communication. This course introduces the main algebraic structures: groups; rings and fields. Fundamental concepts and properties of these structures are studied; both in the abstract and in relation to concrete families of structures. Furthermore; algebra is an excellent vehicle for training students in mathematical rigour; proofs; and problem solving.,,,,,,,,,
Graph Theory,MTH310,This course is aimed at giving students an introduction to the theory of graphs. The course will introduce concepts that are widely used such as matchings; colorings; etc and study relations between various graph parameters such as matching number; chromatic number; clique number; etc. The emphasis will be on common proof techniques; and applying them to prove properties of graphs in general and for specific families of graphs.,,,,,,,,,
Machine Learning Techniques for Real-time Control,ECE577,"This course will provide an in-depth understanding of how to apply machine learning (ML) tools for real-time control applications, where no a-priopri data is available for the training phase of the ML component. The course focuses on online applications like control of robotics, aircraft type plants, which can be modelled as nonlinear dynamical systems. The uncertainties associated with the plant dynamics would be learned online using ML components (like neural networks), while simultaneously ensuring stability of the plant. Further model-based reinforcement learning (RL) inspired techniques will be introduced to design an approximate optimal controller. Lyapunov-based stability analysis will be instrumental for designing all the mentioned controllers.",,,,,,,,,
Speech and Audio Processing,CSE572/ECE561,"This is an introductory course on Speech and Audio pocessing offered to undergraduate and graduate students. The goal is to develop understanding of a wide range of important concepts that comprise the field of digital speech/audio processing and enable students to develop practical applications. Students will be given assignments which will include mathematically involved pen and paper questions, along with computational experiments.",,,,,,,,,
Introduction to Functional Analysis,MTH542,MTech and PhD students frequently find that their mathematical foundation is inadequate to pursue research for their thesis; and it is difficult for them to achieve the required level entirely through self-study. This course has the objective of providing the essential knowledge required to remove this inadequacy. The course is essentially advanced linear algebra (infinite-dimensional spaces) combined with mathematical analysis (i.e. considerations of convergence and continuity). Since this would be a first course on the subject for most of the students; there will be more emphasis on developing mathematical skills; and only limited applications.,,,,,,,,,
Scientific Computing,MTH373/MTH573,This is an overview course to be offered to 3rd and 4th year undergraduate; and postgraduate students. The course is structured to systematically build on and provide an overview of several ideas and topics that comprise the basics of discretizations of continuous mathematics. In this setup; we will concern ourselves with computational as well as stability analyses of both methods and algorithms.We will begin with an introduction to scientific computing. Then we will analyze and study methods in numerical linear algebra: matrix factorizations; direct solution of linear systems; solutions of linear least square problems; and solutions to eigenvalue problems.This will be followed by solutions of nonlinear equations in 1d and then more generally. We will apply this learning to unconstrained optimization in 1d and again more generally. We will also delve into some constrained optimization and nonlinear least squares problems.The next part of the course will discuss polynomial interpolation (including using splines) of discrete data in 1d. This will be utilized in methods for numerical differentiation of sampled data; and for numerically carrying out integration in 1d (also known as quadrature).The last part of the course will deal with numerical solutions of initial and boundary value ordinary differential equations in 1d. This will be followed by a foray into numerical solution of model partial differential equations.A student registering for the MTH573 version of the course will be required to work on an additional Pass/No Pass project for getting the course credits. Graduate students; in particular; will not be allowed to register for the 373 listing of this course.,,,,,,,,,
Introduction to Dynamical Systems,MTH343/MTH543,Dynamical systems is the mathematical formalism that describes the time evolution of a point in an appropriate space. This formalism has lead to the development of a rich theory which is of interest to both pure and applied mathematicians as it has found application in physics; biology; chemistry and several branches of engineering.This course starts with a systematic study of features and mechanisms dictating behaviour of 1-D dynamical systems (bifurcation; transitivity; periodic points; Devaney chaos) and their application to well known examples (logistic family; tent map; shift map; etc).The second half of the course is dedicated to the study of phenomena from dynamical systems of dimension greater than one. It discusses applications of the Perron-Frobenius Theorem; concept of hyperbolicity; Lotka-Volterra equations; and time permitting symbolic dynamical systems.,,,,,,,,,
Analytic Number Theory,MTH516,Analytic Number Theory is a branch of mathematics that uses analytic tools to solve number theoritic problems. It is well-known for its results on prime numbers (Prime Number Theorem and Riemann Zeta function). In this course the main aim is to study the Riemann Zeta function and its connection with the distribution of prime numbers and finally to prove the Prime Number Theorem - PNT using analytic tools.,,,,,,,,,
Point Set Toplogy,MTH562,The subject of topology serves to lay the foundations for future study in Analysis; in Geometry; and in Algebraic Topology. In general terms; Topology concerns itself with properties of geometric objects and mappings between them such as continuity; connectedness; compactness; deformation. In this course we study Point Set Topology which is the branch of Topology dealing with the basic set-theoretic definitions and constructions used in Topology. The core of the study will cover topological spaces;connectedness; compactness (through compactness of finite products); and the countability and separation axioms (through the Urysohn metrization theorem). Additional topics covered would be local finiteness; complete metric spaces; Baire spaces. The course will prepare the student to undertake further studies in Topological Combinatorics; Differential Topology and as mentioned before; Algebraic Topology.,,,,,,,,,
Point Set Toplogy,MTH562A,"The subject of topology serves to lay the foundations for future study in Analysis, in Geometry, and in Algebraic Topology. In general terms, Topology concerns itself with properties of geometric objects and mappings between them such as continuity, connectedness, compactness, deformation. In this course we study Point Set Topology which is the branch of Topology dealing with the basic set-theoretic definitions and constructions used in Topology. The core of the study will cover topological spaces, connectedness, compactness (through compactness of finite products), and the countability and separation axioms (through the Urysohn metrization theorem), and complete metric spaces. The course will prepare the student to undertake further studies in the areas mentioned above.",,,,,,,,,
Introduction to Riemannian Geometry with Some Applications,MTH564A,Riemannian Comuputing in Computer Vision;by P.K. Turaga and A. Srivastava; p. 1) This course aims to equip students with some of the necessary mathematical tools needed to pursue further studies in these emerging fields. We will begin the course with some preliminaries. We will cover some very basic topology; just enough to be able to define a manifold. We will also spend some time on differentiable manifolds; tangent spaces; and vector fields; before we introduce the concept of a Riemannian metric. We will then study Riemannian manifolds; geodesics and the exponential map. Following this; the Grassmann manifold will be studied as a subtopic.,,,,,,,,,
Numerical Solutions Differential Equations,MTH570,"This course will be provide an overview of two standard numerical methods for partial differential equations (PDEs). The focus will be on essential theoretical analysis as well parabolic and hyperbolic partial differential equations. This will be followed by a short foray into linear system solvers and finite difference scheme for two-dimensional Poisson’s (elliptic) problem. The second part of the course will deal with finite element methods exclusively for elliptic problems. The core ideas in functional analysis, variational formulation, error analysis, and computer implementation will be presented for the one-dimensional problem. This will be followed be a more practical treatment of two-dimensional problems. The last part will consist of an overview of the specialized topics of mixed and adaptive finite element methods.as computer implementation. The first part will be on finite difference methods. Key numerical schemes and underlying theory will be provided for one- dimensional",,,,,,,,,
Combinatorics and its Applications,MTH311,The aim of this course is to familiarize students with fundamental concepts in combinatorics; especially those used in enumeration. Topics covered include permutation groups; linear codes; Stirling and Bell numbers. Generating functions are introduced and their applications are discussed. Applications of group theory to enumeration: Burnside’s Lemma and Polya’s theory of counting are covered. Students are introduced to error correcting codes and linear codes over finite fields.,,,,,,,,,
Integral Transforms and their Applications,MTH571,The course is designed as an introduction to the theory and applications of integral transforms to problems in linear differentialequations; and to boundary and initial value problems in partial differential equations. The course assumes very limited knowledge of vector calculus; ordinary differential equations; complex variables contour integration; partial differential equations and continuum mechanics. Many new applications in applied mathematics; physics; chemistry; biology and Engineering are included. This course will serve as a reference for advanced study and research in this subject as well as for its applications in the fields of neuroscience; signal processing; informatics and communications. The course is open to all MTech; PhD students and some advanced undergraduates; honors students through instructor consent.,,,,,,,,,
Spatial Statistics and Spatial Econometrics,ECO324/524,The purpose of this course is to introduce the standard spatial- analytic framework for analyzing spatial data and its target audience are social scientists and engineers. In the past decade or so; much interest has grown in the area due to readily-available spatially-delineated data; particularly when in 2008 the U.S. Geological Survey stopped charging for its high-resolution LANDSAT archive. However; spatial data and spatial relationships necessitate the use of analytic tools beyond the standard statistical methods such as OLS. The role of spatial autocorrelation (also known as multidimensional autocorrelation) in spatial datasets is a focus of this course. In addition; we will ask: how and why does spatial autocorrelation arise; how is it measured and understood; how does it relate to issues of spatial heterogeneity and spatial dependence; and how these factors inform the specification and estimation of regression models.Specific modeling techniques include spatial autocorrelation measures (Moran's I; Geary's C); spatial regression models.,,,,,,,,,
Foundations of Biology,BIO101,"The objective of this course is to provide an introduction to the foundations of biology including the chemistry of life, cellular mechanisms, genetics and mechanisms of evolution.",,,,,,,,,
Cell Biology and Bio-Chemistry,BIO211 / BIO511,"The aim of this basic core course is to provide students a decent background in cell biology and biochenmistry. The major focus is to a) cover most important concepts in cell biology like structure and functions of cell, proteins, and signal transduction mechanisms
b) cover biological thermodynamics, enzyme kinetics and metabolism and finally c) solve qualitative and quantitative problems.",,,,,,,,,
Genetics and Molecular Biology,BIO214,"The aim of this basic core course is to provide students a good background in genetics, molecular biology. The major focus is to acquaint students with quantitative aspect of different kind of genetic inheritance and horizontal transfers. The course is also to provide introduction about different aspect of molecular aspect of gene regulation.",,,,,,,,,
Stochastic Simulations in Systems Biology and Biophysics,BIO506,"This course will introduce students to stochastic simulations as used in solving biological probelms. It will emphasize kinetic Monte Carlo simulations that are able to capture dynamical aspects (such as in cellular phenotype generation), complex details in biological problems (such as spatial heterogeneity) and fluctuation effects. We plan to discuss stochastic modeling of important cellular (as mediated by regulatory networks) and immunological processes and biomedical applications.	",,,,,,,,,
Cell Biology and Bio-Chemistry,BIO511,"The aim of this basic core course is to provide students a decent background in cell biology and biochenmistry. The major focus is to a) cover most important concepts in cell biology like structure and functions of cell, proteins, and signal transduction mechanisms
b) cover biological thermodynamics, enzyme kinetics and metabolism and finally c) solve qualitative and quantitative problems.
",,,,,,,,,
Foundations of Modern Biology,BIO512,"The aim of this basic core course is to provide students a good background in genetics and molecular biology. The major focus is to a) cover most important concepts in genetics like Mendelian laws, linkage and recombination b) cover molecular mechanisms of gene expression and c) solve qualitative and quantitative problems in population and evolutionary genetics.
",,,,,,,,,
Data Sciences for Genomics,BIO541,The field of Genomics is expanding its horizon with help of high throughput technologies. Scientist are trying to answer fundamentalquestions related to health; society and human survival outside earth using genomics. With such increase of applications; it constantly needs computational experts for systematic analysis of data and acheiving meaning full insights. Infact the computational experts have now started taking lead in genomic projects. Hence this course is meant to guide students for data analysis approach and steps involved in computational genomics and make them familiar with latest development in genomics.,,,,,,,,,
Computing for Medicine,BIO546/CSE585,This objective of this course is to train students in creation of computing solutions that are relevant to medicine. The course will pick timely and relevant topics in computing such as the building blocks of electronic health records; modeling and visualizing diseases; pathogen and human factors involved in spread and the ever increasing role of information management and computing in managing diseases.,,,,,,,,,
Computational Methods in Oncology Research,BIO5XX,"Sustainable Development Goals (SDGs) target a one-third reduction in non-communicable disease (NCD) mortality between 2015-2030. Cancer accounts for 22% of NCD deaths. Worldwide, an estimated 19.3 million new cancer cases and almost 10.0 million cancer deaths occurred in 2020, making it one of the worst challenges against humanity. The advent of high-throughput omic platforms has opened many doors for substantial interventions in terms of cancer detection, prevention, treatment, and life expectancy analysis. This course is timely, practical and will prepare students as computational warriors against this curse.",,,,,,,,,
Communication Skills,COM101,"A Course designed to supplement and optimize the use of technical skills with the use of effective communication skills and thus enhance professionalism among our students and give them a head start in their careers.Theory Communication-it's importance and definition,model of communication, effectiveness of medium. Organisational communication- formal and informal channels. Barriers in Communication.Non Verbal communication-it's importance and relevance, Listening Skills, Presentation Skills, Group Discussion, Business Writing. Resume writing etc.Blog writing to develop written communication and language expression.
Developing spoken skills in different contexts.
Present ideas in public Presentation Skills Listen attentively to other’s ideas Group Discussion Sequence and articulate ideas Extempore Developing ideas, articulating while thinking on your feet.sten attentively to other’s ideas Group DiscussionSequence and articulate ideas Extempore Developing ideas, articulating while thinking on your feet.",,,,,,,,,
Technical Communication,COM301A,Technical Writing is a two-credit; practice-oriented course that provides acomplete process for planning; writing; and editing technical documents;with a greater focus on critical thinking and structuring. Students willexplore the principles of effective written communication and criticalreading; examine a variety of professional writing samples to gain anunderstanding of the skills needed to successfully communicate throughprofessionally written e-mails; scientific reports; proposals and reviews.They will also learn the techniques of objective reporting on scientific andtechnical material; strategies of reading and writing research papers;drafting research abstracts; creating research pitch; techniques of posterdesigning; and making presentations. Additionally; this course will alsoteach students to draft their resumes; academic cover letters; statement ofpurpose; make editorial changes; usage of resources for literature survey;plagiarism; and the specific use of style sheets.,,,,,,,,,
Introduction to Programming,CSE101,"Introduction of Programming is the first programming course in the college curriculum, and aims to bridge the gap between students who have prior coding experience and those who have none. The main goal of this course is to prepare students to understand basic algorithms and data structures, write organized code, and to gain practical experience with debugging, compiling and running programs.			",,,,,,,,,
Data Structures & Algorithms,CSE102,"This course is aimed at giving students a background in basic data structures and algorithms along with their impact in solving real life problems using a computer. The major focus will be on covering the basic data structures, b) Algorithm analysis using recurrence relations and c) problem solving using C++.",,,,,,,,,
Computer Organization,CSE112,"This course considers a computer as a stand alone device. It deals with basic computer functionality, and how it is realized in software. We deal in detail with the hardware organization that delivers it. The layers in the computer organization are revealed systematically and the manner in which organizational components are managed is described. The course lays the basis for more advanced topics in computer science, both hardware and software.",,,,,,,,,
Introduction to Intelligent Systems,CSE140,The development of AI systems is becoming increasingly important in Computer Science. The goals of this course are to enable students to: (a) understand the basic concepts of AI / Intelligent Systems; (b) introduce to the students the techniques used to build intelligent systems and the associated processing techniques; and (c) give an overview of various sub-fields of AI such as Natural Language Processing; Robotics etc.,,,,,,,,,
Advanced Programming,CSE201,"The Advanced Programming is a successor to the Introduction of Programming course. The main goal of this course is to prepare students to the challenge of building large-scale programs which multiple functional components, some of which could be designed/implemented independently. The course will use Java to to introduce students to concepts of object orientation, reusable code design, test-driven development, programming to an application-programming-interface, pattern oriented program design and implementation etc. At the end of the course the students are expected to be able to work in teams in order to develop large application programs starting from a reasonably well-defined application design with multiple independent components with well-defined interfaces.",,,,,,,,,
Computer Networks,CSE232,"This course teaches the standard layers in network, circuit and packet switching, protocols at the link layer, routing algorithms, TCP/IP protocol, and new challenges in wireless networks.",,,,,,,,,
Modern Algorithm Design,CSE319/CSE519,The field of algorithm design has matured and grown in scope over the last sixty years - starting with the basic algorithmic questions of sorting and searching; to algorithms for problems from various disciplines; so that neary every field of human endeavour is being revolutionized by the algorithmic viewpoint. Students of this course will learn to use these modern tools irrespective of their future field of study or specialization.,,,,,,,,,
Advanced Algorithms,CSE320/CSE520,"The purpose of this course is to develop advanced techniques in the design and analysis of algorithms. It will focus on exploring both the breadth of theoritical tools necessary for computer science as well as the depth through analysis of the related data structure and algorithms.When taught as a graduate-level course, the students will be required to write a survey paper. Topics covered in this course include string matching, linear programming, max-flow, min-cut, numerical algorithms (including polynomial operations and FFT), amortized analysis and advanced data structures like Fibonacci heaps, splay trees, steiner trees, skip lists.
",,,,,,,,,
Theory of Computation,CSE322,"The course gives an overview over basic formal grammars and abstract machine models used in Computer Science. In particular, finite automata, pushdown automata, context-free grammers and Turing machines are studied with respect to their properties and limits. Based on Turing machines the concepts of decidability and recursive enumerability are introduced.	",,,,,,,,,
Statistical Machine Learning,CSE342/CSE542,This course will introduce students to salient topics in machine learning and pattern classification. Fundamentals and advanced theoretical and mathematical concepts related to classification techniques and learning paradigms will be discussed. The programming assignments will provide hands-on experience of implementing some of these techniques. The project component of this course will test the student's ability to design; apply; and evaluate classifiers on appropriate datasets. The application domain for the projects will be from diverse areas such as object recognition; handwritten character recognition; and emotion recognition.,,,,,,,,,
